               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.02005,              0.0105,           0.0016494,             0.99179,             0.99629,             0.99436,             0.77571,             0.01415,           0.0065541,          0.00041731,           0.0076679,           0.0076679,           0.0076679
                  36,            0.020071,            0.010451,           0.0016395,             0.99192,             0.99561,             0.99377,             0.78711,            0.013832,           0.0064823,           0.0004594,            0.007543,            0.007543,            0.007543
                  37,            0.018854,            0.010391,            0.001635,             0.99604,             0.99697,             0.99426,             0.77564,            0.014136,           0.0065853,          0.00031242,            0.007416,            0.007416,            0.007416
                  38,            0.019742,              0.0103,            0.001687,               0.996,             0.99764,             0.99465,              0.7884,            0.013964,           0.0065459,          0.00039171,           0.0072872,           0.0072872,           0.0072872
                  39,            0.019519,            0.010034,           0.0015618,             0.99367,              0.9992,             0.99454,             0.77647,            0.014077,           0.0064001,          0.00041268,           0.0071566,           0.0071566,           0.0071566
                  40,            0.020125,            0.010762,           0.0021108,             0.99651,             0.99786,             0.99438,              0.7779,            0.014083,           0.0064534,          0.00044587,           0.0070243,           0.0070243,           0.0070243
                  41,            0.019676,            0.010776,           0.0015976,             0.99695,             0.99672,             0.99445,             0.78297,            0.013801,           0.0064285,          0.00038126,           0.0068906,           0.0068906,           0.0068906
                  42,            0.018964,            0.010206,           0.0013776,             0.99635,              0.9953,             0.99439,               0.789,            0.013791,           0.0063491,          0.00032711,           0.0067555,           0.0067555,           0.0067555
                  43,            0.019238,             0.01047,           0.0013833,             0.99715,             0.99919,             0.99455,             0.78187,            0.013653,            0.006339,          0.00036574,           0.0066191,           0.0066191,           0.0066191
                  44,            0.018878,            0.010048,           0.0014804,             0.99718,             0.99416,             0.99431,             0.79163,             0.01342,           0.0063305,          0.00033671,           0.0064816,           0.0064816,           0.0064816
